68,BOL,2013,125,1
68,BOL,2014,125,1
68,BOL,2015,125,1
68,BOL,2016,125,1
68,BOL,2017,125,1
76,BRA,2004,125,0
76,BRA,2005,125,1
76,BRA,2006,125,1
76,BRA,2007,125,1
76,BRA,2008,125,1
76,BRA,2009,125,1
76,BRA,2010,125,1
76,BRA,2011,125,1
76,BRA,2012,125,1
76,BRA,2013,125,1
76,BRA,2014,125,1
76,BRA,2015,125,0
76,BRA,2016,125,0
76,BRA,2017,125,1
64,BTN,2005,125,1
64,BTN,2006,125,0
64,BTN,2007,125,0
64,BTN,2008,125,0
64,BTN,2009,125,1
64,BTN,2010,125,1
64,BTN,2011,125,1
64,BTN,2012,125,1
64,BTN,2013,125,1
64,BTN,2014,125,1
64,BTN,2015,125,1
64,BTN,2016,125,1
64,BTN,2017,125,1
72,BWA,2004,125,1
72,BWA,2005,125,1
72,BWA,2006,125,1
72,BWA,2007,125,1
72,BWA,2008,125,1
72,BWA,2009,125,0
72,BWA,2010,125,0
72,BWA,2011,125,0
72,BWA,2012,125,1
72,BWA,2013,125,0
72,BWA,2014,125,0
72,BWA,2015,125,0
72,BWA,2016,125,0
72,BWA,2017,125,1
140,CAF,2004,125,0
140,CAF,2005,125,0
140,CAF,2006,125,0
140,CAF,2007,125,0
140,CAF,2008,125,1
140,CAF,2009,125,1
140,CAF,2010,125,1
140,CAF,2011,125,1
140,CAF,2012,125,1
140,CAF,2013,125,1
140,CAF,2014,125,1
140,CAF,2015,125,1
140,CAF,2016,125,0
140,CAF,2017,125,0
152,CHL,2004,125,1
152,CHL,2005,125,1
152,CHL,2006,125,1
152,CHL,2007,125,1
152,CHL,2008,125,1
152,CHL,2009,125,1
152,CHL,2010,125,1
152,CHL,2011,125,1
152,CHL,2012,125,1
152,CHL,2013,125,1
152,CHL,2014,125,1
152,CHL,2015,125,1
152,CHL,2016,125,1
152,CHL,2017,125,1
156,CHN,2004,125,1
156,CHN,2005,125,1
156,CHN,2006,125,0
156,CHN,2007,125,0
156,CHN,2008,125,0
156,CHN,2009,125,0
156,CHN,2010,125,0
156,CHN,2011,125,1
156,CHN,2012,125,1
156,CHN,2013,125,1
156,CHN,2014,125,1
156,CHN,2015,125,1
156,CHN,2016,125,1
156,CHN,2017,125,1
384,CIV,2004,125,1
384,CIV,2005,125,1
384,CIV,2006,125,0
384,CIV,2007,125,0
384,CIV,2008,125,0
384,CIV,2009,125,0
384,CIV,2010,125,1
384,CIV,2011,125,1
384,CIV,2012,125,1
384,CIV,2013,125,1
384,CIV,2014,125,1
384,CIV,2015,125,1
384,CIV,2016,125,1
384,CIV,2017,125,1
120,CMR,2004,125,1
120,CMR,2005,125,1
120,CMR,2006,125,1
120,CMR,2007,125,1
120,CMR,2008,125,1
120,CMR,2009,125,1
120,CMR,2010,125,1
120,CMR,2011,125,1
120,CMR,2012,125,1
120,CMR,2013,125,1
120,CMR,2014,125,1
120,CMR,2015,125,1
120,CMR,2016,125,1
120,CMR,2017,125,1
180,COD,2004,125,0
180,COD,2005,125,0
180,COD,2006,125,0
180,COD,2007,125,0
180,COD,2008,125,0
180,COD,2009,125,0
180,COD,2010,125,0
180,COD,2011,125,1
180,COD,2012,125,1
180,COD,2013,125,1
180,COD,2014,125,1
180,COD,2015,125,1
180,COD,2016,125,1
180,COD,2017,125,1
178,COG,2004,125,1
178,COG,2005,125,1
178,COG,2006,125,1
178,COG,2007,125,1
178,COG,2008,125,1
178,COG,2009,125,1
178,COG,2010,125,1
178,COG,2011,125,1
178,COG,2012,125,1
178,COG,2013,125,1
178,COG,2014,125,1
178,COG,2015,125,1
178,COG,2016,125,0
178,COG,2017,125,0
170,COL,2004,125,1
170,COL,2005,125,1
170,COL,2006,125,1
170,COL,2007,125,1
170,COL,2008,125,1
170,COL,2009,125,1
170,COL,2010,125,1
170,COL,2011,125,1
170,COL,2012,125,1
170,COL,2013,125,1
170,COL,2014,125,1
170,COL,2015,125,1
170,COL,2016,125,1
170,COL,2017,125,1
174,COM,2005,125,0
174,COM,2006,125,0
174,COM,2007,125,1
174,COM,2008,125,1
174,COM,2009,125,0
174,COM,2010,125,0
174,COM,2011,125,0
174,COM,2012,125,0
174,COM,2013,125,0
174,COM,2014,125,0
174,COM,2015,125,0
174,COM,2016,125,0
174,COM,2017,125,0
132,CPV,2005,125,1
132,CPV,2006,125,1
132,CPV,2007,125,1
132,CPV,2008,125,1
132,CPV,2009,125,1
132,CPV,2010,125,1
132,CPV,2011,125,1
132,CPV,2012,125,1
132,CPV,2013,125,1
132,CPV,2014,125,1
132,CPV,2015,125,1
132,CPV,2016,125,1
132,CPV,2017,125,1
188,CRI,2004,125,1
188,CRI,2005,125,1
188,CRI,2006,125,1
188,CRI,2007,125,1
188,CRI,2008,125,1
188,CRI,2009,125,1
188,CRI,2010,125,1
188,CRI,2011,125,1
188,CRI,2012,125,1
188,CRI,2013,125,1
188,CRI,2014,125,1
188,CRI,2015,125,1
188,CRI,2016,125,1
188,CRI,2017,125,1
262,DJI,2005,125,1
262,DJI,2006,125,1
262,DJI,2007,125,1
262,DJI,2008,125,1
262,DJI,2009,125,1
262,DJI,2010,125,1
262,DJI,2011,125,1
262,DJI,2012,125,1
262,DJI,2013,125,1
262,DJI,2014,125,1
262,DJI,2015,125,1
262,DJI,2016,125,1
262,DJI,2017,125,1
212,DMA,2005,125,1
212,DMA,2006,125,1
212,DMA,2007,125,1
212,DMA,2008,125,1
212,DMA,2009,125,1
212,DMA,2010,125,1
212,DMA,2011,125,1
212,DMA,2012,125,1
