m49,iso,country,subregion,region,intermediate_region_name,region_code,subregion_code,intermediate_region_code,ldc,lldc,sids,developed
772,TKL,Tokelau,Polynesia,Oceania,,9,61,,,,,Developing
776,TON,Tonga,Polynesia,Oceania,,9,61,,,,x,Developing
798,TUV,Tuvalu,Polynesia,Oceania,,9,61,,x,,x,Developing
876,WLF,Wallis and Futuna Islands,Polynesia,Oceania,,9,61,,,,,Developing
,TWN,Chinese Taipei,Eastern Asia,Asia,,,,,,,,
,XKX,Kosovo,Eastern Europe,Europe,,,,,,,,
,,Channel Islands,Western Europe,Europe,,,,,,,,
,,Sark,Western Europe,Europe,,,,,,,,
10,ATA,Antarctica,,,,,,,,,,
1,,,,World,,,,,,,,
2,,,,Africa,,,,,,,,
15,,,Northern Africa,,,,,,,,,
202,,,Sub-Saharan Africa,,,,,,,,,
19,,,,Americas,,,,,,,,
419,,,Latin America and the Caribbean,,,,,,,,,
21,,,Northern America,,,,,,,,,
142,,,,Asia,,,,,,,,
143,,,Central Asia,,,,,,,,,
30,,,Eastern Asia,,,,,,,,,
35,,,South-eastern Asia,,,,,,,,,
34,,,Southern Asia,,,,,,,,,
145,,,Western Asia,,,,,,,,,
150,,,,Europe,,,,,,,,
151,,,Eastern Europe,,,,,,,,,
154,,,Northern Europe,,,,,,,,,
39,,,Southern Europe,,,,,,,,,
155,,,Western Europe,,,,,,,,,
9,,,,Oceania,,,,,,,,
53,,,Australia and New Zealand,,,,,,,,,
54,,,Melanesia,,,,,,,,,
57,,,Micronesia,,,,,,,,,
61,,,Polynesia,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,https://unstats.un.org/unsd/methodology/m49/overview/,,,,,,,,,,,
